time,semitone,f0
4.351,64,332.97
4.362,64,332.24
4.373,64,331.464
4.383,64,331.079
4.394,64,331.049
4.405,64,330.916
4.415,64,330.596
4.426,64,330.659
4.437,64,330.497
4.448,64,330.578
4.458,64,330.872
4.469,64,331.063
4.48,64,331.442
4.49,64,331.393
4.501,64,331.57
4.512,64,331.503
4.523,64,330.977
4.533,64,330.835
4.544,64,330.761
4.555,64,330.248
4.565,64,329.773
4.576,64,329.859
4.587,64,329.843
4.598,64,329.758
4.608,64,329.252
4.619,64,328.352
4.63,64,327.706
4.64,64,327.662
4.651,64,327.944
4.662,64,327.35
4.673,64,325.278
4.683,64,326.79
4.694,64,328.994
4.705,64,331.497
4.715,65,342.338
4.726,65,342.611
4.737,65,341.715
4.748,65,339.585
4.758,64,336.874
4.769,64,333.585
4.78,64,329.952
4.79,64,327.568
4.801,64,326.898
4.812,64,327.291
4.823,64,327.352
4.833,64,328.648
4.844,64,332.515
4.855,64,334.855
4.865,64,336.377
4.876,64,336.837
4.887,64,336.064
4.898,64,334.388
4.908,64,332.556
4.919,64,330.139
4.93,64,327.007
4.94,64,323.343
4.951,63,319.931
4.962,63,318.061
4.973,63,318
4.983,64,324.465
4.994,64,331.805
5.005,64,335.652
5.015,65,339.705
5.026,65,341.967
5.037,65,342.676
5.048,65,342.295
5.058,65,340.982
5.069,65,339.958
5.08,65,340.393
5.09,65,342.859
5.101,65,348.291
5.112,65,354.727
5.123,66,361.166
5.133,66,367.634
5.144,66,372.768
5.155,66,376.051
5.165,66,377.233
5.176,66,376.467
5.187,66,375.023
5.198,66,373.215
5.208,66,371.388
5.219,66,370.593
5.23,66,370.158
5.24,66,369.947
5.251,66,368.903
5.262,66,366.399
5.273,66,366.352
5.283,66,370.792
5.294,66,375.694
5.305,66,376.346
5.315,66,376.147
5.326,66,375.293
5.337,66,374.694
5.348,66,374.029
5.358,66,373.235
5.369,66,372.612
5.38,66,371.845
5.39,66,370.39
5.401,66,368.467
5.412,66,368.595
5.423,66,369.633
5.433,66,370.429
5.444,66,371.238
5.455,66,371.888
5.465,66,372.126
5.476,66,372.52
5.487,66,372.539
5.498,66,372.54
5.508,66,372.831
5.519,66,373.071
5.53,66,375.246
5.54,66,379.693
5.551,66,379.117
5.562,66,377.779
5.573,66,376.293
5.583,66,374.739
5.594,66,373.213
5.605,66,371.884
5.615,66,370.431
5.626,66,369.668
5.637,66,369.625
5.648,66,370.29
5.658,66,370.658
5.669,66,370.19
5.68,66,372.153
5.69,66,375.668
5.701,66,378.069
5.712,66,380.171
5.723,67,381.062
5.733,67,380.978
5.744,66,380.538
5.755,66,378.891
5.765,66,376.617
5.776,66,373.825
5.787,66,371.628
5.798,66,370.255
5.808,66,369.439
5.819,66,369.351
5.83,66,374.311
5.84,66,377.251
5.851,66,378.467
5.862,66,379.395
5.873,66,379.629
5.883,66,379.154
5.894,66,377.997
5.905,66,376.743
5.915,66,375.669
5.926,66,374.96
5.937,66,374.813
5.948,66,375.207
5.958,66,375.625
5.969,66,375.677
5.98,66,375.939
5.99,66,376.479
6.001,66,376.688
6.012,66,376.281
6.023,66,375.984
6.033,66,375.728
6.044,66,375.4
6.055,66,375.283
6.065,66,375.155
6.076,66,375.152
6.087,66,375.153
6.098,66,375.03
6.108,66,375.403
6.119,66,376.021
6.13,66,376.516
6.14,66,376.31
6.151,66,376.114
6.162,66,376.028
6.173,66,375.826
6.183,66,375.706
6.194,66,375.708
6.205,66,375.817
6.215,66,375.772
6.226,66,375.389
6.237,66,375.456
6.248,66,375.245
6.258,66,374.47
6.269,66,373.085
6.28,66,370.603
6.29,66,366.166
6.301,65,357.774
6.312,65,347.346
6.323,64,337.539
6.333,64,323.112
6.344,63,310.985
6.355,62,302.197
6.365,62,300.56
6.376,63,305.441
6.387,63,306.714
6.398,63,308.652
6.408,63,310.336
6.419,63,311.486
6.43,63,311.749
6.44,63,310.375
6.451,63,308.988
6.462,63,308.322
6.473,63,308.168
6.483,63,307.543
6.494,63,306.661
6.505,63,306.138
6.515,63,306.649
6.526,63,307.437
6.537,63,308.159
6.548,63,308.632
6.558,63,308.71
6.569,63,308.575
6.58,63,307.31
6.59,63,304.782
6.601,62,300.18
6.612,62,288.736
6.623,61,279.803
6.633,60,268.381
6.644,60,257.572
6.655,59,253.906
6.665,59,251.162
6.676,59,249.414
6.687,59,248.928
6.698,59,248.459
6.708,59,248.25
6.719,59,248.338
6.73,59,247.393
6.74,59,246.73
6.751,59,244.373
6.762,59,244.533
6.773,59,246.765
6.783,59,246.95
6.794,59,247.173
6.805,59,247.824
6.815,59,248.4
6.826,59,248.373
6.837,59,248.683
6.848,59,248.759
6.858,59,248.432
6.869,59,248.386
6.88,59,249.366
6.89,59,252.748
6.901,60,259.654
6.912,61,269.384
6.923,62,286.287
6.933,63,311.059
6.944,63,319.868
6.955,64,329.622
6.965,64,336.609
6.976,65,341.405
6.987,65,344.021
6.998,65,343.831
7.008,65,342.898
7.019,65,343.252
7.03,65,345.07
7.04,65,348.602
7.051,65,352.943
7.062,65,357.949
7.073,66,363.539
7.083,66,368.388
7.094,66,371.561
7.105,66,373.128
7.115,66,374.022
7.126,66,374.168
7.137,66,374.331
7.148,66,373.68
7.158,66,372.544
7.169,66,372.083
7.18,66,371.797
7.19,66,371.001
7.201,66,370.442
7.212,66,369.875
7.223,66,369.424
7.233,66,369.543
7.244,66,369.749
7.255,66,369.813
7.265,66,370.375
7.276,66,371.07
7.287,66,371.669
7.298,66,371.985
7.308,66,372.018
7.319,66,372.269
7.33,66,372.697
7.34,66,373.274
7.351,66,373.557
7.362,66,373.48
7.373,66,373.249
7.383,66,372.792
7.394,66,372.351
7.405,66,371.842
7.415,66,371.353
7.426,66,370.974
7.437,66,370.561
7.448,66,369.945
7.458,66,369.567
7.469,66,369.665
7.48,66,369.409
7.49,66,369.606
7.501,66,370.407
7.512,66,372.161
7.523,66,374.303
7.533,66,376.079
7.544,66,377.369
7.555,66,378.269
7.565,66,378.582
7.576,66,377.604
7.587,66,375.072
7.598,66,371.826
7.608,66,368.943
7.619,66,366.718
7.63,66,366.825
7.64,66,369.494
7.651,66,374.072
7.662,66,379.914
7.673,67,383.209
7.683,67,382.867
8.883,67,382.888
8.894,66,369.147
8.905,66,369.96
8.915,66,378.484
8.926,66,379.966
8.937,66,380.666
8.948,67,381.242
